University Name,Category,Campuses,Established Since,Sector,Chartered By,City,Province,Recognized University,Distance Education,Campus_count
"Nishtar Medical University, Multan",Medical,Multan,,Public,Government of Punjab,Multan,Punjab,Yes,No,1
"Northern University, Nowshera",General,Mian Campus,,Private,Government of Khyber Pakhtunkhwa,Nowshehra,Khyber Pakhtunkhwa,Yes,No,1
Nur International University,General,Lahore,,Private,Government of Punjab,Lahore,Punjab,Yes,No,1
"Pak-Austria Fachhochschule Institute of Applied Sciences and Technology, Haripur",General,Mian Campus,,Public,Government of Khyber Pakhtunkhwa,Haripur,Khyber Pakhtunkhwa,Yes,No,1
"Pakistan Global Institute, Rawat",General,Mian Campus,,Private,Government of Pakistan,Rawat,Punjab,Yes,No,1
Pakistan Institute of Development Economics (PIDE),General,Islamabad,,Public,Government of Pakistan,Islamabad,Islamabad Capital Territory,Yes,No,1
Pakistan Institute of Engineering & Applied Sciences,Engineering & Technology,Mian Campus; Islamabad,,Public,Government of Pakistan,Islamabad,Islamabad Capital Territory,Yes,No,2
Pakistan Institute of Fashion & Design,Arts & Design,Lahore,,Public,Government of Punjab,Lahore,Punjab,Yes,No,1
Pakistan Military Academy,General,Abbottabad,,Public,Government of Pakistan,Abbottabad,Khyber Pakhtunkhwa,Yes,No,1
Pakistan Naval Academy,General,Karachi,,Public,Government of Sindh,Karachi,Sindh,Yes,No,1
Peoples University of Medical & Health Sciences for Women,General,Nawabshah,,Public,Government of Sindh,Nawabshah,Sindh,Yes,No,1
Pir Mehr Ali Shah Arid Agriculture University,General,Rawalpindi,,Public,Government of Punjab,Rawalpindi,Punjab,Yes,No,1
"Preston Institute of Management, Science & Technology",General,Karachi,,Private,Government of Sindh,Karachi,Sindh,Yes,No,1
"Preston University, Karachi",General,Karachi,,Private,Government of Sindh,Karachi,Sindh,Yes,No,1
"Preston University, Kohat",General,Mian Campus; Islamabad,,Private,Government of Khyber Pakhtunkhwa,Kohat,Khyber Pakhtunkhwa,Yes,No,2
"Punjab Tianjin University of Technology, Lahore",Engineering & Technology,Lahore,,Public,Government of Punjab,Lahore,Punjab,Yes,No,1
"Punjab University of Technology, Rasul-Mandi Bahauddin",Engineering & Technology,Mian Campus,,Public,Government of Punjab,Mandi Bahauddin,Punjab,Yes,No,1
Qarshi University,General,Mian Campus; Lahore,,Private,Government of Punjab,Lahore,Punjab,Yes,No,2
"Quaid-e-Awam University of Engineering, Sciences & Technology",General,Larkana; Nawabshah,,Public,Government of Sindh,Nawabshah,Sindh,Yes,No,2
Quaid-i-Azam University,General,Islamabad,,Public,Government of Pakistan,Islamabad,Islamabad Capital Territory,Yes,No,1
Qurtaba University of Science & Information Technology,General,Dera Ismail Khan; Peshawar,,Private,Government of Khyber Pakhtunkhwa,Peshawar,Khyber Pakhtunkhwa,Yes,No,2
"Rashid Latif Khan University, Lahore",General,Mian Campus,,Private,Government of Punjab,Lahore,Punjab,Yes,No,1
Rawalpindi Medical University,Medical,Mian Campus,,Public,Government of Punjab,Rawalpindi,Punjab,Yes,No,1
"Rawalpindi Women University, Rawalpindi",General,Mian Campus,,Public,Government of Punjab,Rawalpindi,Punjab,Yes,No,1
Riphah International University,General,Faisalabad; Islamabad; Lahore,,Private,Government of Pakistan,Islamabad,Islamabad Capital Territory,Yes,No,3
Saifee Burhani University,General,Mian Campus,,Private,Government of Sindh,Karachi,Sindh,Yes,No,1
"Salim Habib University (Former Barret Hodgson University), Karachi",General,Mian Campus,,Private,Government of Sindh,Karachi,Sindh,Yes,No,1
Sardar Bahadur Khan Women University,General,Quetta,,Public,Government of Balochistan,Quetta,Balochistan,Yes,No,1
Sarhad University of Science & Information Technology,General,Abbottabad; Bannu; Dera Ismail Khan; Haripur; Hyderabad; Islamabad; Kohat; Mansehra; Mardan; Swabi; Swat,,Private,Government of Khyber Pakhtunkhwa,Peshawar,Khyber Pakhtunkhwa,Yes,No,11
Shah Abdul Latif University,General,Khairpur,,Public,Government of Sindh,Khairpur,Sindh,Yes,No,1
"Shaheed Allah Buksh Soomro University of Arts, Design and Heritages, Jamshoro",Arts & Design,Mian Campus,,Public,Government of Sindh,Jamshoro,Sindh,Yes,No,1
Shaheed Benazir Bhutto City University,General,Karachi,,Private,Government of Sindh,Karachi,Sindh,Yes,No,1
Shaheed Benazir Bhutto Dewan University,General,Karachi,,Private,Government of Sindh,Karachi,Sindh,Yes,No,1
Shaheed Benazir Bhutto University,General,Upper Dir,,Public,Government of Khyber Pakhtunkhwa,Upper Dir,Khyber Pakhtunkhwa,Yes,No,1
Shaheed Benazir Bhutto University of Veterinary & Animal Sciences,General,Nawabshah,,Public,Government of Sindh,Nawabshah,Sindh,Yes,No,1
"Shaheed Benazir Bhutto University, Shaheed Benazirabad",General,Nawabshah,,Public,Government of Sindh,Nawabshah,Sindh,Yes,No,1
Shaheed Benazir Bhutto Women University,General,Peshawar,,Public,Government of Pakistan,Peshawar,Khyber Pakhtunkhwa,Yes,No,1
Shaheed Mohtarma Benazir Bhutto Medical University,General,Larkana,,Public,Government of Sindh,Larkana,Sindh,Yes,No,1
"Shaheed Zulfikar Ali Bhutto Institute of Science & Technology  University, Karachi",General,Mian Campus; Hyderabad; Islamabad; Larkana,,Private,Government of Sindh,Karachi,Sindh,Yes,No,4
Shaheed Zulfiqar Ali Bhutto Medical University,Medical,Islamabad,,Public,Government of Pakistan,Islamabad,Islamabad Capital Territory,Yes,No,1
Shaheed Zulfiqar Ali Bhutto University of Law,General,Karachi,,Public,Government of Sindh,Karachi,Sindh,Yes,No,1
Shifa Tameer-e-Millat University,General,Islamabad,,Private,Government of Pakistan,Islamabad,Islamabad Capital Territory,Yes,No,1
"Shuhada-e-Army Public School University of Technology, Nowshera",Engineering & Technology,Nowshehra,,Public,Government of Khyber Pakhtunkhwa,Nowshehra,Khyber Pakhtunkhwa,Yes,No,1
"Sindh Agriculture University, Tandojam",General,Hyderabad,,Public,Government of Sindh,Hyderabad,Sindh,Yes,No,1
Sindh Institute of Management & Technology,General,Mian Campus,,Private,Government of Sindh,Karachi,Sindh,Yes,No,1
Sindh Institute of Medical Sciences,General,Mian Campus,,Private,Government of Sindh,Karachi,Sindh,Yes,No,1
