University Name,Category,Campuses,Established Since,Sector,Chartered By,City,Province,Recognized University,Distance Education,Campus_count
University of Modern Sciences,General,Mian Campus,,Private,Government of Sindh,Tando Muhammad  Khan,Sindh,Yes,No,1
University of Narowal,General,Mian Campus,,Public,Government of Punjab,Narowal,Punjab,Yes,No,1
University of Okara,General,Okara,,Public,Government of Punjab,Okara,Punjab,Yes,No,1
University of Peshawar,General,Mian Campus; Peshawar,,Public,Government of Khyber Pakhtunkhwa,Peshawar,Khyber Pakhtunkhwa,Yes,No,2
University of Poonch,General,Poonch,,Public,Government of AJK,Poonch,Azad Jammu & Kashmir,Yes,No,1
University of Sahiwal,General,Sahiwal,,Public,Government of Punjab,Sahiwal,Punjab,Yes,No,1
University of Sargodha,General,Sargodha,,Public,Government of Punjab,Sargodha,Punjab,Yes,No,1
University of Science & Technology,General,Bannu,,Public,Government of Pakistan,Bannu,Khyber Pakhtunkhwa,Yes,No,1
"University of Sialkot, Sialkot",General,Sialkot,,Private,Government of Punjab,Sialkot,Punjab,Yes,No,1
University of Sindh,General,Mirpur Khas,,Public,Government of Sindh,Mirpur Khas,Sindh,Yes,No,1
University of South Asia,General,Lahore,,Private,Government of Punjab,Lahore,Punjab,Yes,No,1
"University of Sufism and Modern Sciences, Bhitshah Sindh",General,Mian Campus,,Public,Government of Sindh,Bhit Shah,Sindh,Yes,No,1
University of Swabi,General,Swabi,,Public,Government of Pakistan,Swabi,Khyber Pakhtunkhwa,Yes,No,1
University of Swat,General,Swat,,Public,Government of Khyber Pakhtunkhwa,Swat,Khyber Pakhtunkhwa,Yes,No,1
University of the Punjab,General,Gujranwala; Jhelum,,Public,Government of Punjab,Lahore,Punjab,Yes,No,2
University of Turbat,General,Turbat,,Public,Government of Balochistan,Turbat,Balochistan,Yes,No,1
University of Veterinary & Animal Sciences,General,Jhang; Lahore,,Public,Government of Punjab,Lahore,Punjab,Yes,No,2
University of Wah,General,Rawalpindi,,Private,Government of Punjab,Rawalpindi,Punjab,Yes,No,1
Virtual University of Pakistan,General,Badin; Ghotki; Hyderabad; Jhelum; Kachhi; Lahore; Muzaffargarh; Peshawar; Pishin,,Public,Government of Pakistan,Lahore,Punjab,Yes,No,9
Women University Mardan,General,Mardan,,Public,Government of Khyber Pakhtunkhwa,Mardan,Khyber Pakhtunkhwa,Yes,No,1
Women University of Azad Jammu & Kashmir,General,Bagh,,Public,Government of AJK,Bagh,Azad Jammu & Kashmir,Yes,No,1
"Women University, Swabi",General,Mian Campus,,Public,Government of Khyber Pakhtunkhwa,Swabi,Khyber Pakhtunkhwa,Yes,No,1
Zia-ud-Din University,General,Karachi,,Private,Government of Sindh,Karachi,Sindh,Yes,No,1
